"Time","queue-proxy","user-container"
2025-09-14 15:01:15,,189 ms
2025-09-14 15:01:16,,204 ms
2025-09-14 15:01:17,,219 ms
2025-09-14 15:01:18,,234 ms
2025-09-14 15:01:19,,249 ms
2025-09-14 15:01:20,203 µs,264 ms
2025-09-14 15:01:21,215 µs,279 ms
2025-09-14 15:01:22,226 µs,294 ms
2025-09-14 15:01:23,237 µs,310 ms
2025-09-14 15:01:24,249 µs,325 ms
2025-09-14 15:01:25,260 µs,340 ms
2025-09-14 15:01:26,272 µs,355 ms
2025-09-14 15:01:27,283 µs,266 ms
2025-09-14 15:01:28,294 µs,266 ms
2025-09-14 15:01:29,306 µs,266 ms
2025-09-14 15:01:30,317 µs,266 ms
2025-09-14 15:01:31,329 µs,266 ms
2025-09-14 15:01:32,259 µs,266 ms
2025-09-14 15:01:33,259 µs,266 ms
2025-09-14 15:01:34,259 µs,266 ms
2025-09-14 15:01:35,259 µs,503 ms
2025-09-14 15:01:36,259 µs,519 ms
2025-09-14 15:01:37,259 µs,534 ms
2025-09-14 15:01:38,259 µs,550 ms
2025-09-14 15:01:39,449 µs,565 ms
2025-09-14 15:01:40,461 µs,581 ms
2025-09-14 15:01:41,473 µs,596 ms
2025-09-14 15:01:42,484 µs,612 ms
2025-09-14 15:01:43,496 µs,627 ms
2025-09-14 15:01:44,507 µs,643 ms
2025-09-14 15:01:45,519 µs,658 ms
2025-09-14 15:01:46,531 µs,674 ms
2025-09-14 15:01:47,542 µs,689 ms
2025-09-14 15:01:48,554 µs,709 ms
2025-09-14 15:01:49,565 µs,724 ms
2025-09-14 15:01:50,577 µs,740 ms
2025-09-14 15:01:51,588 µs,755 ms
2025-09-14 15:01:52,695 µs,771 ms
2025-09-14 15:01:53,695 µs,787 ms
2025-09-14 15:01:54,695 µs,802 ms
2025-09-14 15:01:55,695 µs,818 ms
2025-09-14 15:01:56,580 µs,833 ms
2025-09-14 15:01:57,569 µs,849 ms
2025-09-14 15:01:58,557 µs,865 ms
2025-09-14 15:01:59,545 µs,880 ms
2025-09-14 15:02:00,534 µs,896 ms
2025-09-14 15:02:01,522 µs,911 ms
2025-09-14 15:02:02,511 µs,927 ms
2025-09-14 15:02:03,499 µs,936 ms
2025-09-14 15:02:04,487 µs,940 ms
2025-09-14 15:02:05,476 µs,946 ms
2025-09-14 15:02:06,673 µs,946 ms
2025-09-14 15:02:07,673 µs,946 ms
2025-09-14 15:02:08,670 µs,946 ms
2025-09-14 15:02:09,670 µs,946 ms
2025-09-14 15:02:10,670 µs,946 ms
2025-09-14 15:02:11,670 µs,946 ms
2025-09-14 15:02:12,670 µs,946 ms
2025-09-14 15:02:13,670 µs,946 ms
2025-09-14 15:02:14,670 µs,946 ms
2025-09-14 15:02:15,670 µs,758 ms
2025-09-14 15:02:16,670 µs,774 ms
2025-09-14 15:02:17,670 µs,790 ms
2025-09-14 15:02:18,670 µs,806 ms
2025-09-14 15:02:19,670 µs,948 ms
2025-09-14 15:02:20,648 µs,949 ms
2025-09-14 15:02:21,648 µs,949 ms
2025-09-14 15:02:22,648 µs,949 ms
2025-09-14 15:02:23,648 µs,949 ms
2025-09-14 15:02:24,648 µs,949 ms
2025-09-14 15:02:25,616 µs,949 ms
2025-09-14 15:02:26,616 µs,949 ms
2025-09-14 15:02:27,616 µs,949 ms
2025-09-14 15:02:28,616 µs,949 ms
2025-09-14 15:02:29,616 µs,949 ms
2025-09-14 15:02:30,616 µs,949 ms
2025-09-14 15:02:31,616 µs,949 ms
2025-09-14 15:02:32,616 µs,949 ms
2025-09-14 15:02:33,616 µs,949 ms
2025-09-14 15:02:34,616 µs,949 ms
2025-09-14 15:02:35,616 µs,950 ms
2025-09-14 15:02:36,616 µs,950 ms
2025-09-14 15:02:37,616 µs,957 ms
2025-09-14 15:02:38,616 µs,957 ms
2025-09-14 15:02:39,409 µs,957 ms
2025-09-14 15:02:40,419 µs,957 ms
2025-09-14 15:02:41,428 µs,957 ms
2025-09-14 15:02:42,438 µs,957 ms
2025-09-14 15:02:43,410 µs,957 ms
2025-09-14 15:02:44,419 µs,957 ms
2025-09-14 15:02:45,427 µs,957 ms
2025-09-14 15:02:46,525 µs,957 ms
2025-09-14 15:02:47,525 µs,957 ms
2025-09-14 15:02:48,525 µs,960 ms
2025-09-14 15:02:49,525 µs,960 ms
2025-09-14 15:02:50,525 µs,960 ms
2025-09-14 15:02:51,525 µs,960 ms
2025-09-14 15:02:52,525 µs,960 ms
2025-09-14 15:02:53,525 µs,960 ms
2025-09-14 15:02:54,525 µs,960 ms
2025-09-14 15:02:55,525 µs,792 ms
2025-09-14 15:02:56,525 µs,776 ms
2025-09-14 15:02:57,525 µs,760 ms
2025-09-14 15:02:58,525 µs,744 ms
2025-09-14 15:02:59,525 µs,728 ms
2025-09-14 15:03:00,525 µs,712 ms
2025-09-14 15:03:01,525 µs,696 ms
2025-09-14 15:03:02,525 µs,680 ms
2025-09-14 15:03:03,422 µs,664 ms
2025-09-14 15:03:04,413 µs,657 ms
2025-09-14 15:03:05,404 µs,641 ms
2025-09-14 15:03:06,358 µs,625 ms
2025-09-14 15:03:07,350 µs,609 ms
