"Time","queue-proxy","user-container"
2025-09-14 15:24:06,168 µs,52.3 µs
2025-09-14 15:24:07,164 µs,42.4 µs
2025-09-14 15:24:08,160 µs,41.5 µs
2025-09-14 15:24:09,156 µs,40.7 µs
2025-09-14 15:24:10,153 µs,39.8 µs
2025-09-14 15:24:11,149 µs,38.9 µs
2025-09-14 15:24:12,145 µs,9.40 µs
2025-09-14 15:24:13,141 µs,9.40 µs
2025-09-14 15:24:14,138 µs,9.40 µs
2025-09-14 15:24:15,134 µs,11.9 µs
2025-09-14 15:24:16,130 µs,11.6 µs
2025-09-14 15:24:17,60.6 µs,11.3 µs
2025-09-14 15:24:18,58.8 µs,11.0 µs
2025-09-14 15:24:19,57.0 µs,10.7 µs
2025-09-14 15:24:20,55.2 µs,10.4 µs
2025-09-14 15:24:21,53.4 µs,780 ms
2025-09-14 15:24:22,51.6 µs,837 ms
2025-09-14 15:24:23,49.8 µs,894 ms
2025-09-14 15:24:24,787 µs,952 ms
2025-09-14 15:24:25,817 µs,1.01 s
2025-09-14 15:24:26,846 µs,1.07 s
2025-09-14 15:24:27,875 µs,1.12 s
2025-09-14 15:24:28,905 µs,1.18 s
2025-09-14 15:24:29,934 µs,1.24 s
2025-09-14 15:24:30,963 µs,1.30 s
2025-09-14 15:24:31,957 µs,1.35 s
2025-09-14 15:24:32,988 µs,1.41 s
2025-09-14 15:24:33,1.02 ms,1.47 s
2025-09-14 15:24:34,1.05 ms,1.09 s
2025-09-14 15:24:35,1.08 ms,1.09 s
2025-09-14 15:24:36,786 µs,1.09 s
2025-09-14 15:24:37,809 µs,1.09 s
2025-09-14 15:24:38,831 µs,1.09 s
2025-09-14 15:24:39,853 µs,1.09 s
2025-09-14 15:24:40,876 µs,2.30 s
2025-09-14 15:24:41,898 µs,2.37 s
2025-09-14 15:24:42,921 µs,2.44 s
2025-09-14 15:24:43,943 µs,2.51 s
2025-09-14 15:24:44,965 µs,2.58 s
2025-09-14 15:24:45,988 µs,2.65 s
2025-09-14 15:24:46,1.01 ms,2.72 s
2025-09-14 15:24:47,882 µs,2.79 s
2025-09-14 15:24:48,902 µs,2.86 s
2025-09-14 15:24:49,921 µs,2.93 s
2025-09-14 15:24:50,940 µs,3.00 s
2025-09-14 15:24:51,960 µs,3.07 s
2025-09-14 15:24:52,979 µs,3.15 s
2025-09-14 15:24:53,999 µs,3.22 s
2025-09-14 15:24:54,1.16 ms,3.29 s
2025-09-14 15:24:55,1.16 ms,3.36 s
2025-09-14 15:24:56,1.16 ms,3.43 s
2025-09-14 15:24:57,1.16 ms,2.79 s
2025-09-14 15:24:58,1.16 ms,2.79 s
2025-09-14 15:24:59,1.16 ms,2.79 s
2025-09-14 15:25:00,1.16 ms,2.79 s
2025-09-14 15:25:01,999 µs,2.79 s
2025-09-14 15:25:02,979 µs,2.79 s
2025-09-14 15:25:03,995 µs,2.79 s
2025-09-14 15:25:04,995 µs,2.79 s
2025-09-14 15:25:05,995 µs,2.79 s
2025-09-14 15:25:06,995 µs,2.79 s
2025-09-14 15:25:07,995 µs,2.79 s
2025-09-14 15:25:08,566 µs,4.89 s
2025-09-14 15:25:09,660 µs,4.97 s
2025-09-14 15:25:10,660 µs,5.06 s
2025-09-14 15:25:11,660 µs,5.15 s
2025-09-14 15:25:12,660 µs,5.22 s
2025-09-14 15:25:13,660 µs,5.22 s
2025-09-14 15:25:14,660 µs,5.22 s
2025-09-14 15:25:15,660 µs,5.22 s
2025-09-14 15:25:16,660 µs,5.22 s
2025-09-14 15:25:17,660 µs,5.22 s
2025-09-14 15:25:18,565 µs,5.22 s
2025-09-14 15:25:19,554 µs,5.22 s
2025-09-14 15:25:20,616 µs,5.22 s
2025-09-14 15:25:21,616 µs,5.51 s
2025-09-14 15:25:22,616 µs,5.51 s
2025-09-14 15:25:23,616 µs,5.51 s
2025-09-14 15:25:24,588 µs,5.51 s
2025-09-14 15:25:25,588 µs,5.51 s
2025-09-14 15:25:26,588 µs,5.51 s
2025-09-14 15:25:27,588 µs,4.21 s
2025-09-14 15:25:28,588 µs,4.21 s
2025-09-14 15:25:29,588 µs,4.21 s
2025-09-14 15:25:30,588 µs,4.21 s
2025-09-14 15:25:31,588 µs,4.21 s
2025-09-14 15:25:32,588 µs,4.21 s
2025-09-14 15:25:33,588 µs,4.21 s
2025-09-14 15:25:34,588 µs,4.21 s
2025-09-14 15:25:35,524 µs,4.21 s
2025-09-14 15:25:36,491 µs,4.21 s
2025-09-14 15:25:37,491 µs,4.21 s
2025-09-14 15:25:38,491 µs,4.21 s
2025-09-14 15:25:39,491 µs,3.34 s
2025-09-14 15:25:40,491 µs,840 ms
2025-09-14 15:25:41,491 µs,861 ms
2025-09-14 15:25:42,491 µs,882 ms
2025-09-14 15:25:43,491 µs,904 ms
2025-09-14 15:25:44,491 µs,925 ms
2025-09-14 15:25:45,491 µs,946 ms
2025-09-14 15:25:46,491 µs,967 ms
2025-09-14 15:25:47,430 µs,988 ms
2025-09-14 15:25:48,430 µs,1.01 s
2025-09-14 15:25:49,430 µs,1.03 s
2025-09-14 15:25:50,430 µs,1.05 s
2025-09-14 15:25:51,430 µs,1.07 s
2025-09-14 15:25:52,430 µs,1.27 s
2025-09-14 15:25:53,359 µs,1.27 s
2025-09-14 15:25:54,352 µs,1.27 s
2025-09-14 15:25:55,345 µs,1.27 s
2025-09-14 15:25:56,337 µs,1.06 s
2025-09-14 15:25:57,330 µs,1.04 s
2025-09-14 15:25:58,323 µs,1.02 s
2025-09-14 15:25:59,316 µs,994 ms
2025-09-14 15:26:00,309 µs,973 ms
2025-09-14 15:26:01,301 µs,951 ms
2025-09-14 15:26:02,294 µs,930 ms
2025-09-14 15:26:03,232 µs,909 ms
2025-09-14 15:26:04,226 µs,888 ms
2025-09-14 15:26:05,220 µs,867 ms
2025-09-14 15:26:06,214 µs,846 ms
2025-09-14 15:26:07,208 µs,824 ms
2025-09-14 15:26:08,203 µs,45.1 µs
2025-09-14 15:26:09,197 µs,45.1 µs
2025-09-14 15:26:10,378 µs,84.7 µs
2025-09-14 15:26:11,378 µs,84.7 µs
2025-09-14 15:26:12,378 µs,84.7 µs
2025-09-14 15:26:13,378 µs,84.7 µs
2025-09-14 15:26:14,378 µs,84.7 µs
2025-09-14 15:26:15,378 µs,84.7 µs
2025-09-14 15:26:16,378 µs,84.7 µs
2025-09-14 15:26:17,378 µs,84.7 µs
2025-09-14 15:26:18,378 µs,84.7 µs
2025-09-14 15:26:19,378 µs,84.7 µs
2025-09-14 15:26:20,392 µs,84.7 µs
2025-09-14 15:26:21,392 µs,84.7 µs
2025-09-14 15:26:22,392 µs,84.7 µs
2025-09-14 15:26:23,392 µs,84.7 µs
2025-09-14 15:26:24,392 µs,84.7 µs
2025-09-14 15:26:25,392 µs,84.7 µs
2025-09-14 15:26:26,335 µs,65.7 µs
2025-09-14 15:26:27,335 µs,54.2 µs
2025-09-14 15:26:28,335 µs,54.2 µs
2025-09-14 15:26:29,335 µs,54.2 µs
2025-09-14 15:26:30,335 µs,54.2 µs
2025-09-14 15:26:31,335 µs,54.2 µs
2025-09-14 15:26:32,335 µs,54.2 µs
2025-09-14 15:26:33,335 µs,54.2 µs
2025-09-14 15:26:34,335 µs,54.2 µs
2025-09-14 15:26:35,121 µs,54.2 µs
2025-09-14 15:26:36,124 µs,54.2 µs
2025-09-14 15:26:37,128 µs,54.2 µs
2025-09-14 15:26:38,132 µs,54.2 µs
2025-09-14 15:26:39,135 µs,11.2 µs
2025-09-14 15:26:40,139 µs,11.5 µs
2025-09-14 15:26:41,142 µs,11.8 µs
2025-09-14 15:26:42,146 µs,12.1 µs
2025-09-14 15:26:43,149 µs,12.4 µs
2025-09-14 15:26:44,118 µs,12.7 µs
2025-09-14 15:26:45,118 µs,9.90 µs
2025-09-14 15:26:46,118 µs,9.90 µs
2025-09-14 15:26:47,118 µs,9.90 µs
2025-09-14 15:26:48,118 µs,9.90 µs
2025-09-14 15:26:49,118 µs,9.90 µs
2025-09-14 15:26:50,118 µs,9.90 µs
2025-09-14 15:26:51,118 µs,12.7 µs
2025-09-14 15:26:52,150 µs,12.4 µs
2025-09-14 15:26:53,147 µs,12.1 µs
2025-09-14 15:26:54,143 µs,11.8 µs
