"Time","queue-proxy","user-container"
2025-09-14 10:24:54,266 µs,112 µs
2025-09-14 10:24:55,260 µs,109 µs
2025-09-14 10:24:56,253 µs,106 µs
2025-09-14 10:24:57,247 µs,104 µs
2025-09-14 10:24:58,240 µs,101 µs
2025-09-14 10:24:59,234 µs,98.4 µs
2025-09-14 10:25:00,227 µs,95.8 µs
2025-09-14 10:25:01,221 µs,93.2 µs
2025-09-14 10:25:02,214 µs,90.5 µs
2025-09-14 10:25:03,208 µs,87.9 µs
2025-09-14 10:25:04,86.2 µs,85.3 µs
2025-09-14 10:25:05,86.2 µs,82.7 µs
2025-09-14 10:25:06,86.2 µs,80.0 µs
2025-09-14 10:25:07,86.2 µs,77.4 µs
2025-09-14 10:25:08,109 µs,74.8 µs
2025-09-14 10:25:09,105 µs,
2025-09-14 10:25:10,100 µs,
2025-09-14 10:25:11,96.1 µs,
2025-09-14 10:25:12,91.9 µs,
2025-09-14 10:25:13,87.7 µs,
2025-09-14 10:25:14,83.5 µs,
2025-09-14 10:25:15,79.2 µs,
2025-09-14 10:25:16,75.0 µs,
2025-09-14 10:25:17,70.8 µs,
2025-09-14 10:25:18,66.6 µs,
2025-09-14 10:25:25,,2.20 s
2025-09-14 10:25:26,,2.28 s
2025-09-14 10:25:27,,2.37 s
2025-09-14 10:25:28,,2.46 s
2025-09-14 10:25:29,,2.55 s
2025-09-14 10:25:30,785 µs,2.64 s
2025-09-14 10:25:31,812 µs,2.72 s
2025-09-14 10:25:32,840 µs,2.81 s
2025-09-14 10:25:33,867 µs,2.90 s
2025-09-14 10:25:34,894 µs,2.99 s
2025-09-14 10:25:35,921 µs,3.07 s
2025-09-14 10:25:36,948 µs,3.16 s
2025-09-14 10:25:37,975 µs,3.25 s
2025-09-14 10:25:38,1.00 ms,3.34 s
2025-09-14 10:25:39,1.03 ms,3.43 s
2025-09-14 10:25:40,1.06 ms,3.51 s
2025-09-14 10:25:41,1.08 ms,3.56 s
2025-09-14 10:25:42,1.11 ms,3.64 s
2025-09-14 10:25:43,1.14 ms,3.73 s
2025-09-14 10:25:44,1.16 ms,3.82 s
2025-09-14 10:25:45,1.19 ms,3.90 s
2025-09-14 10:25:46,1.22 ms,3.99 s
2025-09-14 10:25:47,1.25 ms,4.08 s
2025-09-14 10:25:48,1.27 ms,4.16 s
2025-09-14 10:25:49,1.42 ms,4.25 s
2025-09-14 10:25:50,1.78 ms,4.34 s
2025-09-14 10:25:51,1.78 ms,4.42 s
2025-09-14 10:25:52,1.78 ms,4.61 s
2025-09-14 10:25:53,1.78 ms,4.70 s
2025-09-14 10:25:54,1.78 ms,4.79 s
2025-09-14 10:25:55,1.78 ms,4.88 s
2025-09-14 10:25:56,1.78 ms,4.97 s
2025-09-14 10:25:57,1.78 ms,5.06 s
2025-09-14 10:25:58,1.78 ms,5.15 s
2025-09-14 10:25:59,1.78 ms,5.24 s
2025-09-14 10:26:00,1.78 ms,5.33 s
2025-09-14 10:26:01,1.78 ms,5.33 s
2025-09-14 10:26:02,1.78 ms,5.33 s
2025-09-14 10:26:03,1.78 ms,5.33 s
2025-09-14 10:26:04,1.78 ms,5.33 s
2025-09-14 10:26:05,1.78 ms,5.33 s
2025-09-14 10:26:06,1.78 ms,5.33 s
2025-09-14 10:26:07,1.78 ms,4.43 s
2025-09-14 10:26:08,1.61 ms,4.52 s
2025-09-14 10:26:09,1.61 ms,4.61 s
2025-09-14 10:26:10,1.61 ms,5.42 s
2025-09-14 10:26:11,1.61 ms,5.42 s
2025-09-14 10:26:12,1.61 ms,5.42 s
2025-09-14 10:26:13,1.61 ms,5.42 s
2025-09-14 10:26:14,1.61 ms,5.42 s
2025-09-14 10:26:15,1.61 ms,5.42 s
2025-09-14 10:26:16,1.61 ms,5.42 s
2025-09-14 10:26:17,1.61 ms,5.42 s
2025-09-14 10:26:18,1.61 ms,5.42 s
2025-09-14 10:26:19,1.61 ms,5.42 s
2025-09-14 10:26:20,1.61 ms,5.42 s
2025-09-14 10:26:21,1.61 ms,5.42 s
2025-09-14 10:26:22,1.96 ms,4.66 s
2025-09-14 10:26:23,1.96 ms,4.57 s
2025-09-14 10:26:24,1.96 ms,4.48 s
2025-09-14 10:26:25,1.96 ms,3.62 s
2025-09-14 10:26:26,1.96 ms,3.62 s
2025-09-14 10:26:27,1.96 ms,4.31 s
2025-09-14 10:26:28,1.96 ms,4.22 s
2025-09-14 10:26:29,1.96 ms,5.71 s
2025-09-14 10:26:30,1.63 ms,5.72 s
2025-09-14 10:26:31,1.96 ms,5.73 s
2025-09-14 10:26:32,1.96 ms,5.74 s
2025-09-14 10:26:33,1.96 ms,5.74 s
2025-09-14 10:26:34,1.96 ms,5.75 s
2025-09-14 10:26:35,1.96 ms,5.76 s
2025-09-14 10:26:36,1.96 ms,5.77 s
2025-09-14 10:26:37,1.96 ms,5.77 s
2025-09-14 10:26:38,1.96 ms,5.78 s
2025-09-14 10:26:39,1.96 ms,5.79 s
2025-09-14 10:26:40,1.96 ms,5.79 s
2025-09-14 10:26:41,1.76 ms,5.84 s
2025-09-14 10:26:42,1.76 ms,5.85 s
2025-09-14 10:26:43,1.76 ms,5.86 s
2025-09-14 10:26:44,1.76 ms,5.87 s
2025-09-14 10:26:45,1.76 ms,4.94 s
2025-09-14 10:26:46,1.76 ms,4.85 s
2025-09-14 10:26:47,1.76 ms,4.75 s
2025-09-14 10:26:48,1.76 ms,4.66 s
2025-09-14 10:26:49,2.03 ms,4.57 s
2025-09-14 10:26:50,2.03 ms,4.48 s
2025-09-14 10:26:51,2.03 ms,4.39 s
2025-09-14 10:26:52,2.03 ms,2.26 s
2025-09-14 10:26:53,2.03 ms,2.26 s
2025-09-14 10:26:54,2.03 ms,2.26 s
2025-09-14 10:26:55,3.08 ms,2.26 s
2025-09-14 10:26:56,3.08 ms,2.26 s
2025-09-14 10:26:57,3.08 ms,2.26 s
2025-09-14 10:26:58,3.08 ms,2.26 s
2025-09-14 10:26:59,3.08 ms,2.26 s
2025-09-14 10:27:00,3.08 ms,3.64 s
2025-09-14 10:27:01,3.08 ms,3.74 s
2025-09-14 10:27:02,3.08 ms,3.83 s
2025-09-14 10:27:03,3.08 ms,3.92 s
2025-09-14 10:27:04,3.08 ms,4.01 s
2025-09-14 10:27:05,3.08 ms,4.11 s
2025-09-14 10:27:06,3.08 ms,4.20 s
2025-09-14 10:27:07,3.08 ms,4.29 s
2025-09-14 10:27:08,3.18 ms,4.39 s
2025-09-14 10:27:09,3.18 ms,4.48 s
2025-09-14 10:27:10,3.18 ms,4.57 s
2025-09-14 10:27:11,3.18 ms,4.66 s
2025-09-14 10:27:12,3.18 ms,4.76 s
2025-09-14 10:27:13,5.35 ms,4.85 s
2025-09-14 10:27:14,5.35 ms,2.74 s
2025-09-14 10:27:15,5.35 ms,2.83 s
2025-09-14 10:27:16,5.35 ms,2.93 s
2025-09-14 10:27:17,5.35 ms,3.02 s
2025-09-14 10:27:18,5.35 ms,3.12 s
2025-09-14 10:27:19,5.35 ms,3.21 s
2025-09-14 10:27:20,5.35 ms,3.31 s
2025-09-14 10:27:21,5.35 ms,3.40 s
2025-09-14 10:27:22,6.30 ms,3.50 s
2025-09-14 10:27:23,6.43 ms,3.59 s
2025-09-14 10:27:24,7.72 ms,3.69 s
2025-09-14 10:27:25,7.72 ms,3.78 s
2025-09-14 10:27:26,7.72 ms,3.88 s
2025-09-14 10:27:27,7.72 ms,3.97 s
2025-09-14 10:27:28,7.72 ms,4.07 s
2025-09-14 10:27:29,7.72 ms,4.16 s
2025-09-14 10:27:30,7.99 ms,3.41 s
2025-09-14 10:27:31,7.99 ms,3.41 s
2025-09-14 10:27:32,7.99 ms,3.41 s
2025-09-14 10:27:33,7.99 ms,3.41 s
2025-09-14 10:27:34,7.99 ms,3.41 s
2025-09-14 10:27:35,7.99 ms,3.41 s
2025-09-14 10:27:36,7.99 ms,3.41 s
2025-09-14 10:27:37,7.99 ms,3.41 s
2025-09-14 10:27:38,7.99 ms,3.41 s
2025-09-14 10:27:39,7.99 ms,3.41 s
2025-09-14 10:27:40,7.99 ms,3.41 s
2025-09-14 10:27:41,8.12 ms,3.41 s
2025-09-14 10:27:42,8.12 ms,3.41 s
2025-09-14 10:27:43,8.12 ms,3.41 s
2025-09-14 10:27:44,8.12 ms,3.41 s
