"Time","GPU 0","GPU 0"
2025-09-14 12:04:49,,0%
2025-09-14 12:04:50,,0%
2025-09-14 12:04:51,,0%
2025-09-14 12:04:52,,0%
2025-09-14 12:04:53,,0%
2025-09-14 12:04:54,,0%
2025-09-14 12:04:55,,0%
2025-09-14 12:04:56,,0%
2025-09-14 12:04:57,,0%
2025-09-14 12:04:58,,0%
2025-09-14 12:04:59,0%,
2025-09-14 12:05:00,0%,
2025-09-14 12:05:01,0%,
2025-09-14 12:05:02,0%,
2025-09-14 12:05:03,2%,
2025-09-14 12:05:04,2%,
2025-09-14 12:05:05,0%,
2025-09-14 12:05:06,0%,
2025-09-14 12:05:07,0%,
2025-09-14 12:05:08,0%,
2025-09-14 12:05:09,0%,
2025-09-14 12:05:10,9%,
2025-09-14 12:05:11,0%,
2025-09-14 12:05:12,0%,
2025-09-14 12:05:13,0%,
2025-09-14 12:05:14,0%,
2025-09-14 12:05:15,0%,
2025-09-14 12:05:16,0%,
2025-09-14 12:05:17,0%,
2025-09-14 12:05:18,50%,
2025-09-14 12:05:19,0%,
2025-09-14 12:05:20,0%,
2025-09-14 12:05:21,0%,
2025-09-14 12:05:22,0%,
2025-09-14 12:05:23,0%,
2025-09-14 12:05:24,0%,
2025-09-14 12:05:25,100%,
2025-09-14 12:05:26,0%,
2025-09-14 12:05:27,0%,
2025-09-14 12:05:28,0%,
2025-09-14 12:05:29,0%,
2025-09-14 12:05:30,0%,
2025-09-14 12:05:31,32%,
2025-09-14 12:05:32,0%,
2025-09-14 12:05:33,0%,
2025-09-14 12:05:34,0%,
2025-09-14 12:05:35,46%,
2025-09-14 12:05:36,0%,
2025-09-14 12:05:37,0%,
2025-09-14 12:05:38,76%,
2025-09-14 12:05:39,0%,
2025-09-14 12:05:40,0%,
2025-09-14 12:05:41,100%,
2025-09-14 12:05:42,0%,
2025-09-14 12:05:43,0%,
2025-09-14 12:05:44,100%,
2025-09-14 12:05:45,0%,
2025-09-14 12:05:46,0%,
2025-09-14 12:05:47,0%,
2025-09-14 12:05:48,100%,
2025-09-14 12:05:49,0%,
2025-09-14 12:05:50,0%,
2025-09-14 12:05:51,0%,
2025-09-14 12:05:52,0%,
2025-09-14 12:05:53,81%,
2025-09-14 12:05:54,0%,
2025-09-14 12:05:55,32%,
2025-09-14 12:05:56,0%,
2025-09-14 12:05:57,40%,
2025-09-14 12:05:58,0%,
2025-09-14 12:05:59,42%,
2025-09-14 12:06:00,0%,
2025-09-14 12:06:01,78%,
2025-09-14 12:06:02,0%,
2025-09-14 12:06:03,0%,
2025-09-14 12:06:04,0%,
2025-09-14 12:06:05,0%,
2025-09-14 12:06:06,0%,
2025-09-14 12:06:07,0%,
2025-09-14 12:06:08,100%,
2025-09-14 12:06:09,0%,
2025-09-14 12:06:10,100%,
2025-09-14 12:06:11,0%,
2025-09-14 12:06:12,50%,
2025-09-14 12:06:13,0%,
2025-09-14 12:06:14,0%,
2025-09-14 12:06:15,0%,
2025-09-14 12:06:16,0%,
2025-09-14 12:06:17,100%,
2025-09-14 12:06:18,0%,
2025-09-14 12:06:19,0%,
2025-09-14 12:06:20,74%,
2025-09-14 12:06:21,0%,
2025-09-14 12:06:22,0%,
2025-09-14 12:06:23,0%,
2025-09-14 12:06:24,0%,
2025-09-14 12:06:25,24%,
2025-09-14 12:06:26,0%,
2025-09-14 12:06:27,0%,
2025-09-14 12:06:28,100%,
2025-09-14 12:06:29,0%,
2025-09-14 12:06:30,0%,
2025-09-14 12:06:31,7%,
2025-09-14 12:06:32,0%,
2025-09-14 12:06:33,37%,
2025-09-14 12:06:34,0%,
2025-09-14 12:06:35,0%,
2025-09-14 12:06:36,21%,
2025-09-14 12:06:37,0%,
2025-09-14 12:06:38,0%,
2025-09-14 12:06:39,5%,
2025-09-14 12:06:40,0%,
2025-09-14 12:06:41,0%,
2025-09-14 12:06:42,64%,
2025-09-14 12:06:43,0%,
2025-09-14 12:06:44,0%,
2025-09-14 12:06:45,21%,
2025-09-14 12:06:46,0%,
2025-09-14 12:06:47,0%,
2025-09-14 12:06:48,62%,
2025-09-14 12:06:49,0%,
2025-09-14 12:06:50,0%,
2025-09-14 12:06:51,29%,
2025-09-14 12:06:52,0%,
2025-09-14 12:06:53,0%,
2025-09-14 12:06:54,0%,
2025-09-14 12:06:55,100%,
2025-09-14 12:06:56,0%,
2025-09-14 12:06:57,0%,
2025-09-14 12:06:58,100%,
2025-09-14 12:06:59,0%,
2025-09-14 12:07:00,0%,
2025-09-14 12:07:01,0%,
2025-09-14 12:07:02,0%,
2025-09-14 12:07:03,0%,
2025-09-14 12:07:04,0%,
2025-09-14 12:07:05,100%,
2025-09-14 12:07:06,0%,
2025-09-14 12:07:07,0%,
2025-09-14 12:07:08,0%,
2025-09-14 12:07:09,0%,
2025-09-14 12:07:10,0%,
2025-09-14 12:07:11,0%,
2025-09-14 12:07:12,0%,
2025-09-14 12:07:13,0%,
2025-09-14 12:07:14,0%,
2025-09-14 12:07:15,0%,
2025-09-14 12:07:16,0%,
2025-09-14 12:07:17,0%,
2025-09-14 12:07:18,0%,
2025-09-14 12:07:19,0%,
2025-09-14 12:07:20,0%,
2025-09-14 12:07:21,0%,
2025-09-14 12:07:22,0%,
2025-09-14 12:07:23,0%,
2025-09-14 12:07:24,0%,
2025-09-14 12:07:25,0%,
2025-09-14 12:07:26,0%,
2025-09-14 12:07:27,0%,
2025-09-14 12:07:28,0%,
2025-09-14 12:07:29,0%,
2025-09-14 12:07:30,0%,
2025-09-14 12:07:31,0%,
2025-09-14 12:07:32,0%,
2025-09-14 12:07:33,0%,
2025-09-14 12:07:34,0%,
2025-09-14 12:07:35,0%,
2025-09-14 12:07:36,0%,
2025-09-14 12:07:37,0%,
2025-09-14 12:07:38,0%,
2025-09-14 12:07:39,0%,
2025-09-14 12:07:40,0%,
2025-09-14 12:07:41,0%,
2025-09-14 12:07:42,0%,
2025-09-14 12:07:43,0%,
2025-09-14 12:07:44,0%,
2025-09-14 12:07:45,0%,
2025-09-14 12:07:46,0%,
2025-09-14 12:07:47,0%,
2025-09-14 12:07:48,0%,
2025-09-14 12:07:49,0%,
2025-09-14 12:07:50,0%,
2025-09-14 12:07:51,0%,
2025-09-14 12:07:52,0%,
2025-09-14 12:07:53,0%,
2025-09-14 12:07:54,0%,
2025-09-14 12:07:55,0%,
2025-09-14 12:07:56,0%,
2025-09-14 12:07:57,0%,
2025-09-14 12:07:58,0%,
2025-09-14 12:07:59,0%,
2025-09-14 12:08:00,0%,
2025-09-14 12:08:01,0%,
2025-09-14 12:08:02,0%,
