"Time","queue-proxy","user-container"
2025-09-14 12:12:39,178 µs,287 µs
2025-09-14 12:12:40,173 µs,281 µs
2025-09-14 12:12:41,128 µs,275 µs
2025-09-14 12:12:42,125 µs,269 µs
2025-09-14 12:12:43,122 µs,263 µs
2025-09-14 12:12:44,118 µs,257 µs
2025-09-14 12:12:45,115 µs,251 µs
2025-09-14 12:12:46,112 µs,134 µs
2025-09-14 12:12:47,109 µs,134 µs
2025-09-14 12:12:48,105 µs,172 µs
2025-09-14 12:12:49,102 µs,167 µs
2025-09-14 12:12:50,99.0 µs,163 µs
2025-09-14 12:12:51,95.7 µs,158 µs
2025-09-14 12:12:52,92.5 µs,154 µs
2025-09-14 12:12:53,89.3 µs,149 µs
2025-09-14 12:12:54,86.0 µs,144 µs
2025-09-14 12:12:55,82.8 µs,140 µs
2025-09-14 12:12:56,79.6 µs,135 µs
2025-09-14 12:12:57,76.3 µs,131 µs
2025-09-14 12:12:58,,126 µs
2025-09-14 12:12:59,,122 µs
2025-09-14 12:13:00,921 µs,117 µs
2025-09-14 12:13:01,983 µs,113 µs
2025-09-14 12:13:02,1.05 ms,174 ms
2025-09-14 12:13:03,1.11 ms,187 ms
2025-09-14 12:13:04,1.17 ms,199 ms
2025-09-14 12:13:05,1.23 ms,212 ms
2025-09-14 12:13:06,1.29 ms,225 ms
2025-09-14 12:13:07,1.36 ms,238 ms
2025-09-14 12:13:08,1.42 ms,251 ms
2025-09-14 12:13:09,1.48 ms,264 ms
2025-09-14 12:13:10,1.54 ms,277 ms
2025-09-14 12:13:11,1.60 ms,290 ms
2025-09-14 12:13:12,1.23 ms,302 ms
2025-09-14 12:13:13,1.23 ms,315 ms
2025-09-14 12:13:14,1.23 ms,328 ms
2025-09-14 12:13:15,1.23 ms,341 ms
2025-09-14 12:13:16,1.27 ms,245 ms
2025-09-14 12:13:17,1.31 ms,404 ms
2025-09-14 12:13:18,1.35 ms,418 ms
2025-09-14 12:13:19,1.39 ms,432 ms
2025-09-14 12:13:20,1.43 ms,446 ms
2025-09-14 12:13:21,1.46 ms,461 ms
2025-09-14 12:13:22,1.50 ms,475 ms
2025-09-14 12:13:23,1.54 ms,489 ms
2025-09-14 12:13:24,1.58 ms,503 ms
2025-09-14 12:13:25,1.33 ms,517 ms
2025-09-14 12:13:26,1.36 ms,532 ms
2025-09-14 12:13:27,1.39 ms,546 ms
2025-09-14 12:13:28,1.43 ms,560 ms
2025-09-14 12:13:29,1.46 ms,574 ms
2025-09-14 12:13:30,1.49 ms,588 ms
2025-09-14 12:13:31,1.52 ms,602 ms
2025-09-14 12:13:32,1.55 ms,617 ms
2025-09-14 12:13:33,1.58 ms,500 ms
2025-09-14 12:13:34,1.61 ms,500 ms
2025-09-14 12:13:35,1.65 ms,500 ms
2025-09-14 12:13:36,1.70 ms,700 ms
2025-09-14 12:13:37,1.73 ms,715 ms
2025-09-14 12:13:38,1.54 ms,730 ms
2025-09-14 12:13:39,1.54 ms,744 ms
2025-09-14 12:13:40,1.54 ms,759 ms
2025-09-14 12:13:41,1.55 ms,774 ms
2025-09-14 12:13:42,1.55 ms,789 ms
2025-09-14 12:13:43,1.55 ms,803 ms
2025-09-14 12:13:44,1.55 ms,818 ms
2025-09-14 12:13:45,1.55 ms,833 ms
2025-09-14 12:13:46,1.55 ms,848 ms
2025-09-14 12:13:47,1.55 ms,862 ms
2025-09-14 12:13:48,1.55 ms,877 ms
2025-09-14 12:13:49,951 µs,906 ms
2025-09-14 12:13:50,951 µs,922 ms
2025-09-14 12:13:51,951 µs,932 ms
2025-09-14 12:13:52,1000 µs,932 ms
2025-09-14 12:13:53,1000 µs,932 ms
2025-09-14 12:13:54,1000 µs,932 ms
2025-09-14 12:13:55,1000 µs,932 ms
2025-09-14 12:13:56,1000 µs,932 ms
2025-09-14 12:13:57,1000 µs,932 ms
2025-09-14 12:13:58,1000 µs,932 ms
2025-09-14 12:13:59,1000 µs,932 ms
2025-09-14 12:14:00,775 µs,932 ms
2025-09-14 12:14:01,893 µs,932 ms
